weight_alpha,ai_noise_sd,misclass_rate,seed,triple_welfare_coef,triple_welfare_se,triple_welfare_p,triple_match_coef,ai_central_hard_welfare,n_jobs
0.3,0.03,0.5,500,5.5449,8.9607,0.536,0.05,12.29,1760
0.3,0.03,0.5,501,-1.3568,8.5353,0.8737,0.05,11.72,1760
0.3,0.03,0.5,502,-8.1917,7.9187,0.3009,-0.1409,9.3,1760
0.3,0.03,0.7,500,15.819,8.3195,0.0572,0.0909,12.05,1760
0.3,0.03,0.7,501,-0.9367,8.191,0.909,-0.0045,11.52,1760
0.3,0.03,0.7,502,-2.0856,8.4406,0.8048,-0.0773,12.83,1760
0.3,0.15,0.5,500,7.9404,8.6672,0.3596,0.0227,12.4,1760
0.3,0.15,0.5,501,2.0962,8.3417,0.8016,0.0591,12.67,1760
0.3,0.15,0.5,502,-8.7665,8.2468,0.2878,-0.1409,8.78,1760
0.3,0.15,0.7,500,20.4987,8.1772,0.0122,0.1,11.75,1760
0.3,0.15,0.7,501,-3.3459,7.7856,0.6674,-0.0409,9.97,1760
0.3,0.15,0.7,502,-3.6564,8.0575,0.65,-0.0318,11.62,1760
0.5,0.03,0.5,500,0.4586,6.395,0.9428,0.15,6.21,1760
0.5,0.03,0.5,501,-7.2337,7.2703,0.3198,-0.05,11.66,1760
0.5,0.03,0.5,502,4.6509,7.3274,0.5256,0.0773,10.49,1760
0.5,0.03,0.7,500,-1.4309,7.6733,0.8521,0.0727,3.8,1760
0.5,0.03,0.7,501,4.3762,8.2053,0.5938,0.0955,7.43,1760
0.5,0.03,0.7,502,12.3592,6.5456,0.059,0.0091,12.1,1760
0.5,0.15,0.5,500,-1.8711,6.6586,0.7787,0.1227,4.28,1760
0.5,0.15,0.5,501,-10.9091,7.4941,0.1455,-0.0409,10.42,1760
0.5,0.15,0.5,502,3.6692,7.4105,0.6205,0.0727,9.18,1760
0.5,0.15,0.7,500,-2.163,7.4572,0.7718,0.05,3.83,1760
0.5,0.15,0.7,501,2.9855,8.6038,0.7286,0.0773,6.92,1760
0.5,0.15,0.7,502,10.2552,6.1198,0.0938,0.0091,10.04,1760
1.0,0.03,0.5,500,3.5272,6.2842,0.5746,-0.1045,6.63,1760
1.0,0.03,0.5,501,-3.4596,6.1936,0.5765,0.0273,5.17,1760
1.0,0.03,0.5,502,4.1232,6.1697,0.5039,-0.0318,8.88,1760
1.0,0.03,0.7,500,-13.9916,6.5186,0.0318,-0.0773,7.6,1760
1.0,0.03,0.7,501,7.9321,7.8853,0.3144,0.1364,8.89,1760
1.0,0.03,0.7,502,-1.0009,5.9337,0.866,0.0273,8.47,1760
1.0,0.15,0.5,500,-2.2151,6.4502,0.7313,-0.1136,2.58,1760
1.0,0.15,0.5,501,-4.2954,6.9612,0.5372,0.0818,3.4,1760
1.0,0.15,0.5,502,6.0304,5.7502,0.2943,-0.0091,9.67,1760
1.0,0.15,0.7,500,-12.5251,6.2,0.0434,-0.1273,7.19,1760
1.0,0.15,0.7,501,6.9558,7.6756,0.3648,0.0864,9.59,1760
1.0,0.15,0.7,502,-4.4787,5.523,0.4174,0.0364,8.2,1760
2.0,0.03,0.5,500,-0.9627,4.8257,0.8419,-0.0864,10.39,1760
2.0,0.03,0.5,501,2.8023,5.7896,0.6284,-0.0773,-0.47,1760
2.0,0.03,0.5,502,-4.5619,5.1258,0.3735,-0.0773,1.01,1760
2.0,0.03,0.7,500,-5.7522,4.4795,0.1991,-0.0818,4.09,1760
2.0,0.03,0.7,501,7.2816,6.3637,0.2525,-0.1,5.06,1760
2.0,0.03,0.7,502,-1.685,5.908,0.7755,-0.0091,3.39,1760
2.0,0.15,0.5,500,-9.9762,4.7368,0.0352,-0.1,3.59,1760
2.0,0.15,0.5,501,5.1966,5.1414,0.3121,-0.0591,-0.98,1760
2.0,0.15,0.5,502,-4.0748,5.3737,0.4483,-0.0636,0.1,1760
2.0,0.15,0.7,500,-10.506,4.0005,0.0086,-0.0864,2.11,1760
2.0,0.15,0.7,501,4.5845,6.459,0.4778,-0.0591,4.07,1760
2.0,0.15,0.7,502,-1.0171,6.0426,0.8663,-0.0455,4.32,1760
3.0,0.03,0.5,500,-10.0836,4.5488,0.0266,-0.1682,2.73,1760
3.0,0.03,0.5,501,8.5446,6.1091,0.1619,-0.05,3.19,1760
3.0,0.03,0.5,502,0.1379,5.0709,0.9783,-0.1,3.28,1760
3.0,0.03,0.7,500,-8.2102,5.4915,0.1349,-0.1182,-0.11,1760
3.0,0.03,0.7,501,0.4755,5.2549,0.9279,-0.0455,2.52,1760
3.0,0.03,0.7,502,-1.4127,4.7825,0.7677,-0.0773,2.34,1760
3.0,0.15,0.5,500,-8.0829,4.1546,0.0517,-0.0955,2.11,1760
3.0,0.15,0.5,501,4.8562,6.2242,0.4353,-0.0273,2.02,1760
3.0,0.15,0.5,502,2.7898,3.7579,0.4578,-0.0955,2.71,1760
3.0,0.15,0.7,500,-8.4786,5.1178,0.0976,-0.1318,1.04,1760
3.0,0.15,0.7,501,2.7681,5.2547,0.5983,0.0045,2.92,1760
3.0,0.15,0.7,502,-4.648,4.8163,0.3345,-0.0818,1.7,1760
